image_id,dice,iou,hd95,iou_pred
Mass-Test_P_00017_LEFT_MLO,0.06896551804399523,0.0357142865752551,28.301942825317383,0.0692189559340477
Mass-Test_P_00238_RIGHT_CC,0.5730337081650043,0.4015748037386075,9.0,0.251122385263443
Mass-Test_P_00699_RIGHT_CC,4.4642857122927297e-10,4.4642857122927297e-10,inf,0.08441754430532455
Mass-Test_P_01617_LEFT_CC,0.6668634457096961,0.5002214091057352,427.07025146484375,0.1363089680671692
Mass-Test_P_00464_RIGHT_MLO,0.5399348534801388,0.3698018919561303,23.0867919921875,0.00925637036561966
Mass-Test_P_00893_LEFT_CC,0.7132567414897758,0.5543116210627025,14.422204971313477,0.22096586227416992
Mass-Test_P_00636_RIGHT_CC,0.4774044033201905,0.313546423266068,17.11724281311035,0.1393224596977234
Mass-Test_P_00980_LEFT_CC,0.6865315854073114,0.5226860258414827,7.0,0.2614595890045166
Mass-Test_P_00433_LEFT_CC,0.1767455890247707,0.09693961966965432,155.33995056152344,0.31816497445106506
Mass-Test_P_00145_LEFT_CC,0.3744048753015677,0.23031865048185576,26.476404190063477,0.16404327750205994
Mass-Test_P_01277_RIGHT_MLO,7.930214109492296e-10,7.930214109492296e-10,inf,0.22924178838729858
Mass-Test_P_00147_RIGHT_MLO,0.7597535934784899,0.6125827815852376,7.211102485656738,0.10329105705022812
Mass-Test_P_01719_RIGHT_MLO,0.792315081672208,0.6560610881870728,8.9442720413208,0.18796679377555847
Mass-Test_P_01106_LEFT_MLO,0.5150357996384162,0.3468338157033643,18.0,0.17043140530586243
Mass-Test_P_00391_LEFT_CC,0.4780229480180012,0.3140802599596195,20.808652877807617,0.11065990477800369
Mass-Test_P_01673_RIGHT_MLO,0.7420027817308752,0.5898286348314933,6.324555397033691,0.17362403869628906
Mass-Test_P_00391_RIGHT_MLO,0.570013037847022,0.39861415032839603,21.470911026000977,0.010565869510173798
Mass-Test_P_01502_LEFT_MLO,0.2048997776370157,0.1141439210351643,32.38827133178711,0.11915861815214157
Mass-Test_P_00203_LEFT_MLO,0.009397025051372727,0.0047206931512819095,25.191255569458008,0.21367394924163818
Mass-Test_P_00766_LEFT_CC,0.6773158169980357,0.5120767494907362,16.76305389404297,0.27919307351112366
Mass-Test_P_01257_RIGHT_MLO,0.7492385787226331,0.5990259741344627,7.6157732009887695,0.09231174737215042
Mass-Test_P_01651_RIGHT_CC,0.7298801034613369,0.5746544916615678,13.0,0.26218411326408386
Mass-Test_P_00820_RIGHT_CC,0.7058631390321961,0.5454316003166503,10.0,0.15836352109909058
Mass-Test_P_01797_LEFT_MLO,6.358491765348858e-11,6.358491765348858e-11,186.77125549316406,0.16951017081737518
Mass-Test_P_01605_LEFT_CC,0.6341152066963275,0.4642523365737728,14.764822959899902,0.19131889939308167
Mass-Test_P_00718_RIGHT_MLO,0.2500791390867238,0.14290882794086307,28.3354549407959,0.31443652510643005
Mass-Test_P_00405_LEFT_CC,0.820987654342238,0.6963350785951802,7.0,0.1334386169910431
Mass-Test_P_01795_LEFT_CC,0.24523160831495763,0.1397515536855574,15.132745742797852,0.10052270442247391
Mass-Test_P_00500_RIGHT_MLO,0.5440289506115759,0.37365368695657547,34.058773040771484,0.10884325951337814
Mass-Test_P_01381_RIGHT_CC,3.915426779986129e-10,3.915426779986129e-10,inf,0.15208080410957336
Mass-Test_P_00200_LEFT_CC,0.5935301202359429,0.4219998798322817,28.301942825317383,0.23532170057296753
Mass-Test_P_00773_LEFT_CC,0.6074074074735004,0.4361702129022799,13.928388595581055,0.1479581743478775
Mass-Test_P_00601_LEFT_MLO,0.6492873675661728,0.48069985579352453,17.0880069732666,0.022548966109752655
Mass-Test_P_00490_RIGHT_MLO,0.8472243004867239,0.734942886880856,5.0,0.20993980765342712
Mass-Test_P_00056_LEFT_MLO,0.4731585519198587,0.30989370419463247,21.260292053222656,0.16777989268302917
Mass-Test_P_01719_RIGHT_CC,0.786090139605104,0.6475687901818438,6.7082037925720215,0.21294832229614258
Mass-Test_P_01599_LEFT_MLO,1.4675667740728546e-10,1.4675667740728546e-10,103.2743911743164,0.15506727993488312
Mass-Test_P_01800_LEFT_MLO,0.4355808801146595,0.27842978565794624,68.25173950195312,0.12278657406568527
Mass-Test_P_01599_LEFT_CC,5.194805192106594e-10,5.194805192106594e-10,inf,0.2007770836353302
Mass-Test_P_00470_RIGHT_MLO,0.7377014863433741,0.5844112770864308,9.05538558959961,0.019312448799610138
Mass-Test_P_00066_LEFT_CC,2.767017154740726e-10,2.767017154740726e-10,inf,0.11965573579072952
Mass-Test_P_01044_LEFT_MLO,0.714076359451286,0.5553023033163025,10.198039054870605,0.15800702571868896
Mass-Test_P_01833_RIGHT_MLO,0.34215121923923736,0.20638264675355938,73.9256362915039,0.17610293626785278
Mass-Test_P_00173_LEFT_CC,0.45033998445542966,0.29060566835122925,19.313207626342773,0.08414029330015182
Mass-Test_P_00893_LEFT_MLO,0.624262395614663,0.45376559720880505,410.0080261230469,0.07157046347856522
Mass-Test_P_01213_LEFT_MLO,7.739938074504691e-10,7.739938074504691e-10,inf,0.1369236409664154
Mass-Test_P_00296_LEFT_CC,0.7972277990210053,0.6628252618254528,12.041594505310059,0.13400834798812866
Mass-Test_P_00510_LEFT_CC,2.1798840301220758e-11,2.1798840301220758e-11,435.025146484375,0.19095665216445923
Mass-Test_P_01590_LEFT_MLO,3.8343558267506305e-10,3.8343558267506305e-10,inf,0.15557226538658142
Mass-Test_P_00788_RIGHT_MLO,0.6848388801178195,0.5207262211566956,16.124515533447266,0.041416265070438385
Mass-Test_P_00576_LEFT_MLO,1.0905125397050027e-09,1.0905125397050027e-09,inf,0.0772852674126625
Mass-Test_P_00171_RIGHT_MLO,0.796316657532117,0.6615665677868082,7.071067810058594,0.11710277944803238
Mass-Test_P_01090_RIGHT_MLO,1.145475370967382e-09,1.145475370967382e-09,inf,0.2915854752063751
Mass-Test_P_01378_RIGHT_MLO,2.1376656686323927e-10,2.1376656686323927e-10,inf,0.09783632308244705
Mass-Test_P_00514_LEFT_MLO,1.2285012269920133e-09,1.2285012269920133e-09,inf,0.11760427802801132
Mass-Test_P_00947_RIGHT_CC,0.5921906964696086,0.42064695483691594,27.658634185791016,0.14881205558776855
Mass-Test_P_01558_RIGHT_MLO,0.8196642300731252,0.6944331019879634,7.280109882354736,0.09826608747243881
Mass-Test_P_00391_RIGHT_CC,0.7544371056509193,0.6056997274792215,14.03566837310791,0.13111668825149536
Mass-Test_P_00980_LEFT_MLO,0.5463917526836007,0.3758865250238922,16.531757354736328,0.10155551880598068
Mass-Test_P_01251_LEFT_CC,0.6624461889513236,0.49526694443482255,22.090721130371094,0.18054524064064026
Mass-Test_P_00641_RIGHT_CC,0.5982905983403579,0.4268292683939856,18.681541442871094,0.1709996610879898
Mass-Test_P_01277_RIGHT_CC,0.28808864315229316,0.16828479031692167,18.94585418701172,0.17784318327903748
Mass-Test_P_00662_LEFT_MLO,0.48493045809659485,0.3200714189691392,400.0042419433594,0.1615128219127655
Mass-Test_P_01865_LEFT_MLO,0.052903226111966704,0.027170311786888564,60.74948501586914,0.1700311005115509
Mass-Test_P_00387_RIGHT_CC,0.6046141608573532,0.4332953252945864,10.440306663513184,0.15300089120864868
Mass-Test_P_00359_LEFT_MLO,2.7940765569169946e-10,2.7940765569169946e-10,193.96133422851562,0.1306191086769104
Mass-Test_P_01510_RIGHT_CC,0.6754817836773469,0.5099830076985999,25.0,0.14615193009376526
Mass-Test_P_01378_LEFT_CC,0.3843421232829388,0.2378858351595868,49.497474670410156,0.06254386156797409
Mass-Test_P_01614_LEFT_MLO,0.515104966966152,0.34689655217455406,15.0,0.2766322195529938
Mass-Test_P_00177_LEFT_MLO,0.30662983439095703,0.1810766722952513,39.173301696777344,0.15912358462810516
Mass-Test_P_00928_RIGHT_CC,0.8214173228533945,0.6969535008557004,6.082762718200684,0.14865900576114655
Mass-Test_P_01365_LEFT_CC,0.3940249567631831,0.24534936483408865,77.16217041015625,0.14001408219337463
Mass-Test_P_00209_LEFT_MLO,2.3201856094659264e-09,2.3201856094659264e-09,inf,0.1355753242969513
Mass-Test_P_00820_RIGHT_MLO,0.020527175409254216,0.010370021444645291,41.9761848449707,0.1781623363494873
Mass-Test_P_00962_RIGHT_CC,0.7903648106492643,0.6533910534910848,5.656854152679443,0.19000843167304993
Mass-Test_P_01684_LEFT_CC,0.6535711985796631,0.48541088687597717,19.10497283935547,0.22160011529922485
Mass-Test_P_00099_LEFT_MLO,0.5409223101200988,0.3707289297433206,12.083045959472656,0.1463225781917572
Mass-Test_P_01912_RIGHT_MLO,0.6345761255362011,0.4647466163889287,15.264337539672852,0.18716484308242798
