image_id,dice,iou,hd95,iou_pred,drift
Mass-Test_P_00017_LEFT_MLO,0.5408637876804891,0.3706739532143224,9.219544410705566,0.4907805919647217,0.0
Mass-Test_P_00238_RIGHT_CC,0.7501505118903369,0.6001926786125311,6.0,0.4280566871166229,0.0
Mass-Test_P_00699_RIGHT_CC,0.7691891892515705,0.6249451033706873,9.219544410705566,0.4846477806568146,0.0
Mass-Test_P_01617_LEFT_CC,0.8490320178739521,0.737667798813777,12.727922439575195,0.5039807558059692,0.0
Mass-Test_P_00464_RIGHT_MLO,0.45526838979739853,0.29472329495021776,19.235383987426758,0.4678798019886017,0.0
Mass-Test_P_00893_LEFT_CC,0.832920890889046,0.7136798906000438,7.8102498054504395,0.4602312743663788,0.0
Mass-Test_P_00636_RIGHT_CC,0.8198554479994743,0.6947076497123392,7.280109882354736,0.44521239399909973,0.0
Mass-Test_P_00980_LEFT_CC,0.8144404333469745,0.6869671136577745,3.0,0.4810287058353424,0.0
Mass-Test_P_00433_LEFT_CC,0.7317406144260271,0.5769644781609449,8.0,0.4504503607749939,0.0
Mass-Test_P_00145_LEFT_CC,0.6829969299312172,0.5185993453507987,13.416407585144043,0.3683933913707733,0.0
Mass-Test_P_01277_RIGHT_MLO,0.6467449308181724,0.47791798148429177,13.505370140075684,0.3907731771469116,0.0
Mass-Test_P_00147_RIGHT_MLO,0.8875830352867697,0.797887000552188,2.0,0.49100473523139954,0.0
Mass-Test_P_01719_RIGHT_MLO,0.8924953095785652,0.8058614264262475,2.8284270763397217,0.5330548882484436,0.0
Mass-Test_P_01106_LEFT_MLO,0.7172211351677,0.5591151795887755,7.781078338623047,0.5041975378990173,0.0
Mass-Test_P_00391_LEFT_CC,0.6914361879887644,0.5283931755720924,12.161401748657227,0.44966503977775574,0.0
Mass-Test_P_01673_RIGHT_MLO,0.6993538579629974,0.5376972533385755,8.9442720413208,0.4525429904460907,0.0
Mass-Test_P_00391_RIGHT_MLO,0.7134905043036198,0.5545940443994416,13.601470947265625,0.47483208775520325,0.0
Mass-Test_P_01502_LEFT_MLO,0.9209527097269753,0.8534868842907953,1.0,0.4288180470466614,0.0
Mass-Test_P_00203_LEFT_MLO,0.86503551702248,0.7621696802766553,2.8284270763397217,0.4431133270263672,0.0
Mass-Test_P_00766_LEFT_CC,0.7044676718430795,0.5437669570835688,17.478551864624023,0.46049633622169495,0.0
Mass-Test_P_01257_RIGHT_MLO,0.8008057296775277,0.6677864876193407,6.082762718200684,0.4822084605693817,0.0
Mass-Test_P_01651_RIGHT_CC,0.8617186397727022,0.7570348333014708,6.082762718200684,0.5139318704605103,0.0
Mass-Test_P_00820_RIGHT_CC,0.8775867094320042,0.7818748377611335,3.0,0.4291720986366272,0.0
Mass-Test_P_01797_LEFT_MLO,0.6348766288786036,0.4650690497704838,11.661903381347656,0.48679670691490173,0.0
Mass-Test_P_01605_LEFT_CC,0.7151376147442344,0.5565869333964346,8.602325439453125,0.4815509021282196,0.0
Mass-Test_P_00718_RIGHT_MLO,0.8312577833300895,0.7112413426192077,5.656854152679443,0.538635790348053,0.0
Mass-Test_P_00405_LEFT_CC,0.8560275545515468,0.7482938579389212,4.0,0.47320690751075745,0.0
Mass-Test_P_01795_LEFT_CC,0.6944655044014666,0.5319396056539609,5.099019527435303,0.4742542505264282,0.0
Mass-Test_P_00500_RIGHT_MLO,0.712167689235131,0.5529972212969444,8.485280990600586,0.4093150794506073,0.0
Mass-Test_P_01381_RIGHT_CC,0.2984977141415749,0.17543186212075554,23.409399032592773,0.46757522225379944,0.0
Mass-Test_P_00200_LEFT_CC,0.7135014544801404,0.5546072764517305,30.08321762084961,0.4460653066635132,0.0
Mass-Test_P_00773_LEFT_CC,0.7314384152056093,0.5765888105441095,11.045360565185547,0.45978012681007385,0.0
Mass-Test_P_00601_LEFT_MLO,0.8343440791837945,0.7157721797054293,4.4721360206604,0.4760153591632843,0.0
Mass-Test_P_00490_RIGHT_MLO,0.5719618416482866,0.40052280005793706,17.259775161743164,0.4798051118850708,0.0
Mass-Test_P_00056_LEFT_MLO,0.6949423248101255,0.5324993202250479,10.0,0.5301280617713928,0.0
Mass-Test_P_01719_RIGHT_CC,0.805130735124536,0.6738232866747221,6.7082037925720215,0.523687481880188,0.0
Mass-Test_P_01599_LEFT_MLO,0.5688471270080062,0.3974747477790531,11.704699516296387,0.45203161239624023,0.0
Mass-Test_P_01800_LEFT_MLO,0.8337565931170626,0.7149078727923257,4.242640495300293,0.48181039094924927,0.0
Mass-Test_P_01599_LEFT_CC,0.7173133355991805,0.5592272498427925,9.0,0.47301045060157776,0.0
Mass-Test_P_00470_RIGHT_MLO,0.8155233670905921,0.688509460226807,5.0,0.4921248257160187,0.0
Mass-Test_P_00066_LEFT_CC,0.6303863299349207,0.4602657988987617,21.0,0.47835299372673035,0.0
Mass-Test_P_01044_LEFT_MLO,0.6503553299847356,0.4818715210648606,16.0,0.4414424002170563,0.0
Mass-Test_P_01833_RIGHT_MLO,0.8673777057797859,0.7658137317414325,6.324555397033691,0.46424785256385803,0.0
Mass-Test_P_00173_LEFT_CC,0.3762218233839573,0.23169533188410435,33.16920852661133,0.46992847323417664,0.0
Mass-Test_P_00893_LEFT_MLO,0.7177134792062708,0.5597138140396651,9.05538558959961,0.48069918155670166,0.0
Mass-Test_P_01213_LEFT_MLO,0.6239185752550033,0.4534023672681935,10.440306663513184,0.48676300048828125,0.0
Mass-Test_P_00296_LEFT_CC,0.7845377038384092,0.6454644511193378,14.744362831115723,0.48411014676094055,0.0
Mass-Test_P_00510_LEFT_CC,0.7528735633604176,0.6036866363099662,5.1133270263671875,0.4593653976917267,0.0
Mass-Test_P_01590_LEFT_MLO,0.8470181504219926,0.734632683757634,7.0,0.5117982625961304,0.0
Mass-Test_P_00788_RIGHT_MLO,0.6228255140191321,0.45224880393258393,14.866068840026855,0.48229965567588806,0.0
Mass-Test_P_00576_LEFT_MLO,0.7961515334960003,0.6613386616769844,4.242640495300293,0.4596603810787201,0.0
Mass-Test_P_00171_RIGHT_MLO,0.5650416172259115,0.3937686445496293,15.81138801574707,0.4802788197994232,0.0
Mass-Test_P_01090_RIGHT_MLO,0.5601317960789688,0.3890160190057025,11.180339813232422,0.5133327841758728,0.0
Mass-Test_P_01378_RIGHT_MLO,0.7639635137118627,0.6180752123699806,11.0,0.42693600058555603,0.0
Mass-Test_P_00514_LEFT_MLO,0.6677393405730173,0.5012077300710052,8.246211051940918,0.49749258160591125,0.0
Mass-Test_P_00947_RIGHT_CC,0.903032465222759,0.8232080135523341,2.8284270763397217,0.4642001986503601,0.0
Mass-Test_P_01558_RIGHT_MLO,0.7857377948671709,0.6470907120261852,12.255383491516113,0.47424831986427307,0.0
Mass-Test_P_00391_RIGHT_CC,0.7682232346335738,0.6236708275791777,15.524174690246582,0.5288437008857727,0.0
Mass-Test_P_00980_LEFT_MLO,0.8650693569293529,0.7622222223983539,2.2360680103302,0.4669751822948456,0.0
Mass-Test_P_01251_LEFT_CC,0.7834101382942165,0.6439393940620044,8.0,0.4228054881095886,0.0
Mass-Test_P_00641_RIGHT_CC,0.8550360841143653,0.7467799397789038,3.605551242828369,0.42553484439849854,0.0
Mass-Test_P_01277_RIGHT_CC,0.4982078856044158,0.33174224396838325,15.167325973510742,0.44765979051589966,0.0
Mass-Test_P_00662_LEFT_MLO,0.8124837676472824,0.6841875045794134,11.180339813232422,0.3931492269039154,0.0
Mass-Test_P_01865_LEFT_MLO,0.8107485604969773,0.6817301485856262,4.4721360206604,0.4950891435146332,0.0
Mass-Test_P_00387_RIGHT_CC,0.7209690895066964,0.5636838670387434,7.12007999420166,0.4821939170360565,0.0
Mass-Test_P_00359_LEFT_MLO,0.6599371173821054,0.49246727599593304,13.0,0.4039769470691681,0.0
Mass-Test_P_01510_RIGHT_CC,0.7242706393886691,0.5677306345722595,12.083045959472656,0.4652203619480133,0.0
Mass-Test_P_01378_LEFT_CC,0.6484925077363255,0.4798290142987366,15.0,0.4298168122768402,0.0
Mass-Test_P_01614_LEFT_MLO,0.7020824480654134,0.540929928263962,8.9442720413208,0.4572220742702484,0.0
Mass-Test_P_00177_LEFT_MLO,0.5942367602826182,0.42271468176026883,19.235383987426758,0.45512136816978455,0.0
Mass-Test_P_00928_RIGHT_CC,0.8215796091185759,0.6971871969549588,8.062257766723633,0.5016391277313232,0.0
Mass-Test_P_01365_LEFT_CC,0.8371369645387586,0.7198930046101126,11.313708305358887,0.609424352645874,0.0
Mass-Test_P_00209_LEFT_MLO,0.7056074769794305,0.5451263546116852,5.0,0.4977799952030182,0.0
Mass-Test_P_00820_RIGHT_MLO,0.7495236699766197,0.5993905298641841,13.416407585144043,0.3991478979587555,0.0
Mass-Test_P_00962_RIGHT_CC,0.8502604166910384,0.7395243488846194,4.123105525970459,0.5113279819488525,0.0
Mass-Test_P_01684_LEFT_CC,0.6312107808218074,0.461145348044319,32.557640075683594,0.39639338850975037,0.0
Mass-Test_P_00099_LEFT_MLO,0.3952879585109372,0.24632952753154197,13.03840446472168,0.43816840648651123,0.0
Mass-Test_P_01912_RIGHT_MLO,0.7623703112766989,0.6159922618707089,9.433980941772461,0.4651733934879303,0.0
Mass-Test_P_00986_LEFT_MLO,0.5889824024798024,0.41741676614061196,24.166091918945312,0.5081326961517334,0.0
Mass-Test_P_00238_RIGHT_MLO,0.40710823941458896,0.2555780938096159,15.81138801574707,0.4708036184310913,0.0
Mass-Test_P_01677_RIGHT_MLO,0.5552603614359032,0.38433247540112825,21.954498291015625,0.4405275881290436,0.0
Mass-Test_P_01254_RIGHT_CC,0.40594660212198225,0.2546631141017651,29.0,0.48017850518226624,0.0
Mass-Test_P_01595_LEFT_CC,0.8014384431108843,0.6686669020274542,9.219544410705566,0.5327847003936768,0.0
Mass-Test_P_01140_LEFT_MLO,0.5779507134687547,0.4064210144449395,22.671567916870117,0.45239919424057007,0.0
Mass-Test_P_00837_RIGHT_MLO,0.6909145789781295,0.5277841827235913,18.384777069091797,0.4496181607246399,0.0
Mass-Test_P_00131_LEFT_CC,0.7902899528690863,0.6532887404385236,5.830951690673828,0.4936482012271881,0.0
Mass-Test_P_01322_RIGHT_CC,0.8419902671723121,0.7271012007329157,7.0,0.4283324182033539,0.0
Mass-Test_P_00591_RIGHT_MLO,0.8135149293067686,0.6856512141974279,5.830951690673828,0.4881758987903595,0.0
Mass-Test_P_00066_LEFT_MLO,0.4305675776640821,0.2743460448669483,29.54149627685547,0.38643160462379456,0.0
Mass-Test_P_00942_LEFT_CC,0.7171717171940364,0.5590551181644864,12.727922439575195,0.4695834815502167,0.0
Mass-Test_P_01645_RIGHT_CC,0.6050729772417355,0.43376676159411476,25.45584487915039,0.4489454925060272,0.0
Mass-Test_P_01416_RIGHT_MLO,0.732164597062069,0.5774918379916474,14.866068840026855,0.4698852598667145,0.0
Mass-Test_P_00375_RIGHT_MLO,0.7091993841696306,0.5494259729313514,16.6433162689209,0.4412223696708679,0.0
Mass-Test_P_01251_LEFT_MLO,0.8404685836335529,0.7248346804831615,3.1622776985168457,0.49699610471725464,0.0
Mass-Test_P_01673_RIGHT_CC,0.5690515808012713,0.3976744188047594,17.262676239013672,0.5086535215377808,0.0
Mass-Test_P_00629_RIGHT_CC,0.7251461988515585,0.5688073395015926,17.029386520385742,0.48195207118988037,0.0
Mass-Test_P_00766_LEFT_MLO,0.765081618196702,0.6195402299579424,9.866580963134766,0.48903581500053406,0.0
Mass-Test_P_01322_RIGHT_MLO,0.7564914503235447,0.6083524319815756,9.219544410705566,0.4167692959308624,0.0
Mass-Test_P_01778_RIGHT_CC,0.8325006574198,0.713063063192314,5.0,0.4570281207561493,0.0
Mass-Test_P_00922_RIGHT_MLO,0.8900945401564854,0.801955276700764,6.0,0.6149057149887085,0.0
